disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Coronary Heart Disease,COPD,suppressed,11601,,,,1.08,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Chronic Kidney Disease,suppressed,13171,,,,0.71,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Chronic Liver Disease,suppressed,13146,,,,0.78,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Depression,suppressed,12441,,,,0.88,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Substance Use Disorder,suppressed,13152,,,,0.94,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Osteoarthritis,suppressed,12624,,,,2.87,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Hypothyroidism,suppressed,13212,,,,0.33,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Sleep Apnea,suppressed,13257,,,,1.38,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Lung,suppressed,13349,,,,0.26,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Colorectal,suppressed,13312,,,,0.32,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Prostate,suppressed,13301,,,,0.58,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Other,suppressed,12935,,,,1.13,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Anxiety,suppressed,13174,,,,0.95,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Heart Failure,suppressed,13573,,,,0.42,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,13522,,,,0.59,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,13586,,,,0.29,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,COPD,suppressed,11845,,,,0.4,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,13428,,,,0.24,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,13412,,,,0.27,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Depression,suppressed,12681,,,,0.28,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Substance Use Disorder,suppressed,13420,,,,0.38,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Osteoarthritis,suppressed,12866,,,,0.83,,,,,,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,Hypothyroidism,suppressed,13479,,,,0.11,,,,,,,,,,,,
