disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Cancer Colorectal,low_n,9381,6,0.00064,6,9.9,0.606,0.222,1.319,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Rheumatoid Arthritis,low_n,9045,6,0.00066,6,8.9,0.674,0.248,1.468,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Hypothyroidism,low_n,8955,6,0.00067,6,12.51,0.48,0.176,1.044,poisson_exact,includes_1,,,,,,,
Heart Failure,Sleep Apnea,low_n,10416,6,0.00058,6,14.49,0.414,0.152,0.902,poisson_exact,below_1,,,,,,,
Heart Failure,Cancer Colorectal,low_n,10392,6,0.00058,6,10.82,0.554,0.203,1.206,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Rheumatoid Arthritis,low_n,10128,6,0.00059,6,9.3,0.645,0.237,1.405,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Cancer Colorectal,low_n,10394,6,0.00058,6,5.71,1.051,0.386,2.288,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Cancer Lung,low_n,9694,6,0.00062,6,6.06,0.99,0.363,2.155,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Cancer Prostate,low_n,9409,6,0.00064,6,18.04,0.333,0.122,0.724,poisson_exact,below_1,,,,,,,
Chronic Liver Disease,Cancer Prostate,low_n,9854,6,0.00061,6,6.0,1.0,0.367,2.178,poisson_exact,includes_1,,,,,,,
Depression,Anxiety,low_n,10019,6,0.0006,6,4.7,1.277,0.468,2.779,poisson_exact,includes_1,,,,,,,
Sleep Apnea,Cancer Prostate,low_n,10246,6,0.00059,6,9.31,0.645,0.237,1.403,poisson_exact,includes_1,,,,,,,
Cancer Lung,Cancer Prostate,low_n,10353,6,0.00058,6,8.46,0.709,0.26,1.543,poisson_exact,includes_1,,,,,,,
Hypertension,Cancer Colorectal,low_n,3507,5,0.00143,5,10.75,0.465,0.151,1.085,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Colorectal,low_n,6463,5,0.00077,5,15.53,0.322,0.105,0.751,poisson_exact,below_1,,,,,,,
Stroke Cerebrovascular,Sleep Apnea,low_n,10057,5,0.0005,5,9.31,0.537,0.174,1.253,poisson_exact,includes_1,,,,,,,
Heart Failure,Hypothyroidism,low_n,10254,5,0.00049,5,7.62,0.656,0.213,1.53,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Osteoporosis,low_n,10147,5,0.00049,5,12.14,0.412,0.134,0.961,poisson_exact,below_1,,,,,,,
Peripheral Vascular Disease,Chronic Liver Disease,low_n,10018,5,0.0005,5,4.56,1.098,0.356,2.562,poisson_exact,includes_1,,,,,,,
COPD,Cancer Colorectal,low_n,8114,5,0.00062,5,7.77,0.644,0.209,1.503,poisson_exact,includes_1,,,,,,,
COPD,Anxiety,low_n,8142,5,0.00061,5,8.95,0.559,0.181,1.304,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Cancer Colorectal,low_n,10405,5,0.00048,5,4.78,1.046,0.34,2.442,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Osteoporosis,low_n,9208,5,0.00054,5,12.96,0.386,0.125,0.901,poisson_exact,below_1,,,,,,,
Sleep Apnea,Cancer Other,low_n,9923,5,0.0005,5,12.91,0.387,0.126,0.904,poisson_exact,below_1,,,,,,,
Cancer Other,Anxiety,low_n,9940,5,0.0005,5,15.36,0.326,0.106,0.76,poisson_exact,below_1,,,,,,,
Hypertension,Peripheral Vascular Disease,suppressed,3539,,,,11.52,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,suppressed,3394,,,,5.5,,,,,,,,,,,,
Hypertension,Depression,suppressed,3373,,,,9.47,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,suppressed,3522,,,,4.52,,,,,,,,,,,,
Hypertension,Osteoporosis,suppressed,3509,,,,5.98,,,,,,,,,,,,
Hypertension,Hypothyroidism,suppressed,3475,,,,6.1,,,,,,,,,,,,
Hypertension,Sleep Apnea,suppressed,3537,,,,7.76,,,,,,,,,,,,
Hypertension,Anxiety,suppressed,3524,,,,12.24,,,,,,,,,,,,
Diabetes Mellitus,Depression,suppressed,8986,,,,9.21,,,,,,,,,,,,
Diabetes Mellitus,Rheumatoid Arthritis,suppressed,9361,,,,4.45,,,,,,,,,,,,
Diabetes Mellitus,Osteoporosis,suppressed,9372,,,,5.16,,,,,,,,,,,,
Diabetes Mellitus,Hypothyroidism,suppressed,9277,,,,6.37,,,,,,,,,,,,
Diabetes Mellitus,Sleep Apnea,suppressed,9414,,,,12.47,,,,,,,,,,,,
Diabetes Mellitus,Anxiety,suppressed,9412,,,,11.26,,,,,,,,,,,,
Hyperlipidemia,Chronic Liver Disease,suppressed,6234,,,,8.05,,,,,,,,,,,,
Hyperlipidemia,Substance Use Disorder,suppressed,6464,,,,14.75,,,,,,,,,,,,
Hyperlipidemia,Rheumatoid Arthritis,suppressed,6467,,,,6.39,,,,,,,,,,,,
Hyperlipidemia,Osteoporosis,suppressed,6471,,,,8.09,,,,,,,,,,,,
Hyperlipidemia,Hypothyroidism,suppressed,6420,,,,8.86,,,,,,,,,,,,
Stroke Cerebrovascular,Chronic Liver Disease,suppressed,9681,,,,6.82,,,,,,,,,,,,
Stroke Cerebrovascular,Rheumatoid Arthritis,suppressed,10010,,,,4.49,,,,,,,,,,,,
Stroke Cerebrovascular,Hypothyroidism,suppressed,9905,,,,6.41,,,,,,,,,,,,
Stroke Cerebrovascular,Anxiety,suppressed,10079,,,,11.54,,,,,,,,,,,,
Heart Failure,Depression,suppressed,9913,,,,10.56,,,,,,,,,,,,
Heart Failure,Rheumatoid Arthritis,suppressed,10362,,,,5.24,,,,,,,,,,,,
Heart Failure,Osteoporosis,suppressed,10377,,,,7.5,,,,,,,,,,,,
Peripheral Vascular Disease,Depression,suppressed,9916,,,,5.56,,,,,,,,,,,,
Peripheral Vascular Disease,Rheumatoid Arthritis,suppressed,10367,,,,2.79,,,,,,,,,,,,
Peripheral Vascular Disease,Osteoporosis,suppressed,10381,,,,4.24,,,,,,,,,,,,
Peripheral Vascular Disease,Hypothyroidism,suppressed,10257,,,,3.97,,,,,,,,,,,,
Peripheral Vascular Disease,Sleep Apnea,suppressed,10414,,,,6.34,,,,,,,,,,,,
Peripheral Vascular Disease,Cancer Prostate,suppressed,10200,,,,13.11,,,,,,,,,,,,
Peripheral Vascular Disease,Anxiety,suppressed,10432,,,,6.68,,,,,,,,,,,,
COPD,Chronic Liver Disease,suppressed,7823,,,,6.19,,,,,,,,,,,,
COPD,Depression,suppressed,7763,,,,7.45,,,,,,,,,,,,
COPD,Rheumatoid Arthritis,suppressed,8095,,,,3.68,,,,,,,,,,,,
COPD,Osteoporosis,suppressed,8111,,,,5.08,,,,,,,,,,,,
COPD,Hypothyroidism,suppressed,7992,,,,5.15,,,,,,,,,,,,
Chronic Kidney Disease,Chronic Liver Disease,suppressed,9266,,,,5.04,,,,,,,,,,,,
Chronic Kidney Disease,Depression,suppressed,9157,,,,6.69,,,,,,,,,,,,
Chronic Kidney Disease,Rheumatoid Arthritis,suppressed,9566,,,,3.2,,,,,,,,,,,,
Chronic Kidney Disease,Osteoporosis,suppressed,9580,,,,3.97,,,,,,,,,,,,
Chronic Kidney Disease,Hypothyroidism,suppressed,9467,,,,4.78,,,,,,,,,,,,
Chronic Kidney Disease,Sleep Apnea,suppressed,9599,,,,8.24,,,,,,,,,,,,
Chronic Kidney Disease,Anxiety,suppressed,9612,,,,8.29,,,,,,,,,,,,
Chronic Liver Disease,Depression,suppressed,9582,,,,2.57,,,,,,,,,,,,
Chronic Liver Disease,Osteoarthritis,suppressed,8877,,,,14.37,,,,,,,,,,,,
Chronic Liver Disease,Rheumatoid Arthritis,suppressed,10014,,,,1.23,,,,,,,,,,,,
Chronic Liver Disease,Osteoporosis,suppressed,10028,,,,1.87,,,,,,,,,,,,
Chronic Liver Disease,Hypothyroidism,suppressed,9914,,,,1.86,,,,,,,,,,,,
Chronic Liver Disease,Sleep Apnea,suppressed,10063,,,,3.38,,,,,,,,,,,,
