disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Osteoarthritis,Cancer Lung,suppressed,7619,,,,0.17,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Colorectal,suppressed,7604,,,,0.24,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Prostate,suppressed,7602,,,,0.55,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Other,suppressed,7399,,,,0.77,,,,,,,,,,,,
Hypertension,Osteoarthritis,Anxiety,suppressed,7529,,,,0.74,,,,,,,,,,,,
Hypertension,Hypothyroidism,Sleep Apnea,suppressed,7873,,,,0.1,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Lung,suppressed,7917,,,,0.02,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Colorectal,suppressed,7900,,,,0.03,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Prostate,suppressed,7897,,,,0.06,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Other,suppressed,7689,,,,0.08,,,,,,,,,,,,
Hypertension,Hypothyroidism,Anxiety,suppressed,7823,,,,0.1,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Lung,suppressed,7964,,,,0.04,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Colorectal,suppressed,7947,,,,0.07,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Prostate,suppressed,7944,,,,0.12,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Other,suppressed,7730,,,,0.23,,,,,,,,,,,,
Hypertension,Sleep Apnea,Anxiety,suppressed,7868,,,,0.31,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Colorectal,suppressed,7992,,,,0.02,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Prostate,suppressed,7988,,,,0.05,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Other,suppressed,7775,,,,0.07,,,,,,,,,,,,
Hypertension,Cancer Lung,Anxiety,suppressed,7910,,,,0.09,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Cancer Prostate,suppressed,7971,,,,0.07,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Cancer Other,suppressed,7761,,,,0.09,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Anxiety,suppressed,7894,,,,0.08,,,,,,,,,,,,
Hypertension,Cancer Prostate,Cancer Other,suppressed,7752,,,,0.22,,,,,,,,,,,,
Hypertension,Cancer Prostate,Anxiety,suppressed,7891,,,,0.17,,,,,,,,,,,,
Hypertension,Cancer Other,Anxiety,suppressed,7675,,,,0.27,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Stroke Cerebrovascular,suppressed,11320,,,,0.61,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Heart Failure,suppressed,11405,,,,0.87,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Atrial Fibrillation,suppressed,11341,,,,1.34,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Peripheral Vascular Disease,suppressed,11402,,,,0.45,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,COPD,suppressed,9906,,,,0.79,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Chronic Kidney Disease,suppressed,11286,,,,0.61,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Chronic Liver Disease,suppressed,11244,,,,0.59,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Depression,suppressed,10683,,,,0.8,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Substance Use Disorder,suppressed,11244,,,,0.76,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Osteoarthritis,suppressed,10823,,,,2.35,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Hypothyroidism,suppressed,11316,,,,0.29,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Sleep Apnea,suppressed,11341,,,,1.27,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Lung,suppressed,11418,,,,0.18,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Colorectal,suppressed,11385,,,,0.23,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Prostate,suppressed,11376,,,,0.45,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Other,suppressed,11065,,,,0.77,,,,,,,,,,,,
